the,4364
and,3040
i,2842
of,2757
to,2172
my,1773
a,1441
in,1184
that,1029
was,1022
me,864
with,713
but,690
had,686
you,641
he,606
which,565
it,561
as,536
his,533
not,529
for,522
by,487
on,471
this,448
from,400
be,376
her,372
have,370
is,333
at,332
when,329
were,308
your,261
or,254
she,254
him,221
all,217
an,214
if,213
so,210
they,208
one,203
will,201
could,197
are,195
been,190
their,184
we,183
would,183
no,182
who,177
more,165
these,156
now,155
should,155
yet,152
some,148
before,148
myself,135
do,133
what,132
man,131
our,130
its,129
upon,128
them,127
am,126
only,125
into,124
any,121
did,119
life,115
may,114
father,113
than,112
every,109
then,109
first,108
might,108
shall,107
own,107
eyes,104
can,103
said,102
time,98
how,98
even,96
being,96
towards,94
saw,94
such,92
those,92
most,91
found,90
other,89
project,87
night,87
elizabeth,86
mind,85
again,83
whom,81
there,80
day,80
where,80
ever,79
felt,79
work,78
after,78
death,76
heart,76
feelings,76
very,76
must,74
thought,74
up,73
dear,72
soon,71
many,70
made,70
friend,70
while,69
also,68
still,68
passed,67
during,67
never,66
has,65
miserable,65
same,64
us,64
thus,64
heard,62
few,62
became,61
about,61
like,61
sometimes,60
place,60
love,59
little,58
human,58
over,57
appeared,57
indeed,56
clerval,56
gutenbergtm,56
country,55
often,55
misery,54
friends,54
justine,54
see,53
nature,53
although,53
days,53
away,52
several,52
until,52
return,52
old,52
words,52
among,51
hope,51
cottage,51
feel,50
cannot,50
whose,50
great,50
know,50
felix,50
through,49
happiness,49
despair,49
chapter,48
long,47
voice,46
another,46
happy,46
sun,45
world,45
years,45
alone,45
much,44
men,44
poor,44
scene,44
horror,44
part,43
well,43
creature,42
new,42
came,42
light,41
joy,41
almost,40
fear,40
affection,40
out,40
ice,40
works,40
far,39
power,39
months,39
nothing,39
make,39
without,38
near,38
thoughts,38
come,38
two,38
countenance,38
entered,38
hands,38
good,37
possessed,37
himself,37
therefore,37
morning,37
house,37
mountains,37
moment,37
x,36
soul,36
seemed,36
earth,36
pleasure,36
took,36
geneva,36
journey,36
here,35
hours,35
nor,35
why,35
within,35
cause,35
left,35
last,34
discovered,34
child,34
down,34
gentle,34
kind,34
spirit,34
around,34
letter,33
already,33
become,33
sea,33
taken,33
however,33
lost,33
rest,33
knowledge,33
believe,33
continued,33
idea,33
whole,32
resolved,32
once,32
strange,32
remained,32
tale,32
knew,32
peace,32
gave,32
under,31
cold,31
read,31
spirits,31
manner,31
tears,31
returned,31
sensations,31
nearly,31
beheld,31
existence,31
family,31
mother,31
form,31
room,31
monster,31
frankenstein,30
delight,30
present,30
too,30
young,30
appearance,30
companion,30
full,30
fiend,30
terms,29
gutenberg,29
arrived,29
think,29
loved,29
change,29
state,29
looked,29
native,28
began,28
science,28
placed,28
oh,28
desire,28
girl,28
fellow,28
lay,28
brought,28
grief,28
let,28
endeavoured,28
yourself,28
each,28
lake,28
beautiful,28
free,28
sister,27
feeling,27
wind,27
beauty,27
thousand,27
mine,27
various,27
since,27
greatest,27
others,27
kindness,27
replied,27
air,27
length,27
forth,27
food,27
hardly,27
electronic,27
quickly,26
town,26
perceived,26
rather,26
beloved,26
suddenly,26
ground,26
dark,26
seek,26
concerning,26
called,26
expressed,26
creatures,26
hand,26
means,26
lovely,26
victor,26
fire,26
wood,26
agony,26
murderer,26
sight,25
cousin,25
greater,25
spent,25
having,25
sat,25
live,25
died,25
desired,25
head,25
henry,25
william,25
rage,25
safie,25
give,24
turned,24
hour,24
occupied,24
fixed,24
degree,24
end,24
wretched,24
spoke,24
die,24
filled,24
natural,24
always,24
wish,24
wretch,24
anguish,24
evil,23
