the,8037
and,5896
i,4712
to,4540
of,3738
a,2961
in,2558
he,2543
that,2455
it,2141
was,1877
as,1581
we,1535
for,1534
is,1526
his,1467
you,1450
me,1446
not,1404
with,1320
my,1259
all,1166
be,1126
at,1095
so,1093
on,1081
but,1070
have,1063
her,1056
had,1038
him,945
she,811
when,772
there,767
this,669
which,656
if,647
from,638
are,601
said,569
were,550
then,543
by,531
or,525
could,493
one,491
do,490
no,485
they,465
them,465
what,461
us,459
will,456
must,451
up,445
some,441
out,429
would,428
shall,427
may,416
our,410
now,402
see,394
been,391
know,390
can,384
more,373
time,369
an,360
has,347
come,338
am,336
over,328
van,322
any,322
your,312
came,307
helsing,300
went,298
into,287
only,285
go,284
who,284
very,281
did,281
before,277
like,275
here,261
back,259
down,252
again,246
seemed,243
about,239
well,236
even,234
such,229
way,226
took,224
lucy,223
dear,221
mina,220
good,220
than,220
think,219
their,218
much,218
how,217
saw,217
where,217
though,216
man,216
through,214
too,209
after,206
night,206
hand,206
room,205
face,205
should,198
made,195
door,195
tell,192
poor,191
dr,189
old,188
away,187
jonathan,187
own,187
other,187
eyes,187
looked,184
work,183
friend,182
great,181
sleep,179
once,179
get,172
things,172
look,171
little,168
make,166
just,164
might,159
got,157
day,157
found,156
its,156
professor,156
yet,152
count,151
off,149
god,149
long,148
take,148
say,147
thought,145
told,144
let,144
men,144
life,143
asked,142
without,140
something,139
last,137
place,133
oh,133
till,133
fear,132
first,132
myself,132
arthur,131
ever,130
house,129
heart,129
knew,128
two,128
never,128
done,127
himself,122
these,116
quite,116
same,115
find,114
want,114
still,113
began,113
harker,113
coming,112
nothing,112
window,108
round,106
put,106
head,105
diary,104
many,104
hands,104
however,103
help,103
hear,102
right,102
mr,102
blood,102
mind,101
whilst,101
full,100
white,100
open,100
x,99
anything,99
moment,99
keep,98
morning,97
left,97
terrible,97
thing,97
rest,95
seen,94
far,91
heard,91
madam,91
upon,90
why,89
mrs,89
project,88
bed,88
strange,88
cannot,88
each,87
felt,87
both,86
few,86
dont,85
every,85
tonight,85
since,85
godalming,85
read,84
turned,84
give,82
light,82
those,82
being,82
seward,82
others,81
alone,81
new,80
sort,80
opened,80
another,80
love,80
quincey,80
stood,79
looking,78
most,77
feel,77
better,77
spoke,77
home,76
death,76
lord,76
believe,75
john,75
dark,74
end,74
does,74
morris,74
whole,73
lay,73
held,73
dead,73
together,73
lucys,73
seems,72
gone,72
set,71
between,71
ready,71
red,70
almost,69
under,69
ask,69
side,69
close,69
need,69
sat,69
going,68
soon,68
case,68
gave,67
against,67
london,66
speak,66
letter,65
seem,65
word,65
hope,65
harkers,64
always,64
try,64
